shortdescription,regex,attemptregex
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|1)0*
Every b followed by two or more a's,(a|baa)*,"a*b*a{2,}"
non isolated 'b',(a|(b*bb))*,b+(a+b)*b
Odd number of b's,(a*ba*b)*a*ba*,a*ba*|a*bbb*a*
Odd number of b's,(a*ba*b)*a*ba*,b+((bb)*(a)*)*
non isolated 'b',(a|(b*bb))*,(a+b)*(b+b+)(a+b)*
Odd number of 1s,0*10*(10*10*)*,(0*1(11)*0*)|(111)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|1(0*1*)*1?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*(0+1*0+)*
Odd number of 1s,0*10*(10*10*)*,0*(111)*(1)*
even prefix,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb?)*
Odd number of 1s,0*10*(10*10*)*,(0(1*)00)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)*|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?
first and third,a(a|b)a(a|b)*,(a(a+b)a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa|ab|ba|bb(a|b)*aaaa*
non isolated 'b',(a|(b*bb))*,a*b+
even prefix,(ab|ba)*,(aa*bb*)*(aa+bb)*
Odd number of 1s,0*10*(10*10*)*,[0-1]([0-1][0-1])?
even prefix,(ab|ba)*,(a|aa)*(b|bb)*
non isolated 'b',(a|(b*bb))*,a*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b*a*aaa
Every b followed by two or more a's,(a|baa)*,((b)*(a)+(a+))+
Three Choices (Regex),001|1010|110,1*0*011*
Every b followed by two or more a's,(a|baa)*,"(a*|b*)a{2,}"
Every b followed by two or more a's,(a|baa)*,(a)*(bbb)*((a)*(bbb)*)*
Odd number of b's,(a*ba*b)*a*ba*,(b|(ab|ba)+)b
non isolated 'b',(a|(b*bb))*,(bb*)+(bbb)*
Odd number of 1s,0*10*(10*10*)*,((11)*1|0*)
Odd number of 1s,0*10*(10*10*)*,1|1*
non isolated 'b',(a|(b*bb))*,(b)*(a|b)(b)*
Odd number of b's,(a*ba*b)*a*ba*,b|(a|b)(bb|a*|ba*b)*a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)(a|ba(a|b))*(b|ba)?
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+(b)*(a)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)b*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b*a+
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*|(b*aa*)*)
even number of 1's,(0*10*10*)*|0*,0?(0*|1)01*
even prefix,(ab|ba)*,((ab)*(ba)*)|abb*ba
Odd number of 1s,0*10*(10*10*)*,(((1?)*|(11?)*)|(111?)*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(01*0*1*0)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0|1)*0)(1(0|1)*1))?
non isolated 'b',(a|(b*bb))*,a((ab)|(ba))*
Odd number of b's,(a*ba*b)*a*ba*,a|b(a*|ab*ab*)
Odd number of b's,(a*ba*b)*a*ba*,(b(a)*(bb)*)*
Odd number of 1s,0*10*(10*10*)*,(1(11))*
even prefix,(ab|ba)*,(ab|ba)(ab|ba)*(aa|ab|bb|ba)*
non isolated 'b',(a|(b*bb))*,a*|(ab)*|(ba)*
non isolated 'b',(a|(b*bb))*,(b+a)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0+1+0*)|0*(1+0+0*)*
Every b followed by two or more a's,(a|baa)*,abaa*
Odd number of b's,(a*ba*b)*a*ba*,a*(b|(b((a*b{2})+a*))+)a*
non isolated 'b',(a|(b*bb))*,a*b*(b+ab+ba+b*)*b*a*
even number of 1's,(0*10*10*)*|0*,(01)*(10)*
Odd number of b's,(a*ba*b)*a*ba*,"a*(b|bb{2,})*a*"
Length 1 or More,(0|1)(0|1)*,0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*
Odd number of 1s,0*10*(10*10*)*,1+(11)*
even number of 1's,(0*10*10*)*|0*,(0+1)*11
Odd number of 1s,0*10*(10*10*)*,[0-1]([0-1])?([0-1])?
Every b followed by two or more a's,(a|baa)*,a*|baa*
non isolated 'b',(a|(b*bb))*,(b?)*b(a|b)*|(a|b)*b(b?)*
Odd number of b's,(a*ba*b)*a*ba*,(b*(bb)*a*(bb)*)ba*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*(10)*
Length 1 or More,(0|1)(0|1)*,(01)|(01)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*ba)*)?
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)
Odd number of 1s,0*10*(10*10*)*,(((1*)?)|((11*)?))|((111*)?)
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*|(1+0+1*0+1+)*|1*|0*
Every b followed by two or more a's,(a|baa)*,"(a*ab{2,})*"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|ba|b)a*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a)*(ba)*((ba)*(ba)*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*)|(a*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)a{3}
Odd number of 1s,0*10*(10*10*)*,0*1*
first and third,a(a|b)a(a|b)*,a(a+b)a(a|b)*
Odd number of 1s,0*10*(10*10*)*,1+(11*)
Odd number of b's,(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb))*b
non isolated 'b',(a|(b*bb))*,a*b*(ab+ba)*b*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)*baa*(b|a)b
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*b)*b)*((a*)+b)
Odd number of b's,(a*ba*b)*a*ba*,b(a|b)*
Every b followed by two or more a's,(a|baa)*,"[ab]*b?a{2,}"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab|ab*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*b+a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(0+1*0+|1+0*1+)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*0)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,aa*b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*(bb(a*))*b)*
Every b followed by two or more a's,(a|baa)*,a*(b*aa)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"a|ba{3,}"
non isolated 'b',(a|(b*bb))*,b*a*ba*b*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(101)*|(010)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b*b)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|00*|11*|11*00*11*|00*11*00*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)*aaa+
even prefix,(ab|ba)*,(aa|bb|ab)*
Odd number of 1s,0*10*(10*10*)*,1(1?)*|0*
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)1(0|1))*
Three Choices (Regex),001|1010|110,001|110|10101
Every b followed by two or more a's,(a|baa)*,a*(b*aa)*a
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)+b*aa+b+
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)(b*|aa*b*|a+ab*)(b*|aa+b*|a+ab*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)?a*b(a|b)
Odd number of 1s,0*10*(10*10*)*,0*(1(11)*0)*
Length 1 or More,(0|1)(0|1)*,(0|1)|(0*|1*)
Every b followed by two or more a's,(a|baa)*,((a*)|(ba(a)*))
even number of 1's,(0*10*10*)*|0*,0*1*0*1*1*0
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|(01|10)*
Odd number of 1s,0*10*(10*10*)*,(0*1|10*|0*111+|111+0*|0*10*)
Odd number of 1s,0*10*(10*10*)*,(1(11)*|0*)(1(11)*|0*)(1(11)*|0*)
Odd number of 1s,0*10*(10*10*)*,1|(0|1)*1(0|1)1*0*
Every b followed by two or more a's,(a|baa)*,"ab*b?a{2,}"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(1*0*)*0)|(1(1*0*)*1))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+b*a*
Odd number of 1s,0*10*(10*10*)*,0*1+0*
even prefix,(ab|ba)*,(ab+ba)*(aa+bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)a{3}a*
Every b followed by two or more a's,(a|baa)*,"b*a{2,}"
non isolated 'b',(a|(b*bb))*,(a+b)*(bb+bbb)*(a+b)*
Odd number of 1s,0*10*(10*10*)*,1+0
Odd number of 1s,0*10*(10*10*)*,1*[11]*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(10|01)*(10|01)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0+)|(1+0+1+))*
Every b followed by two or more a's,(a|baa)*,[a-b]*[b]+a{2}
non isolated 'b',(a|(b*bb))*,a*bb*a*bb*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1+0+)*(1*0+1+)*
even number of 1's,(0*10*10*)*|0*,(01*01*)*
non isolated 'b',(a|(b*bb))*,(ab*b)|(a*)
non isolated 'a',(b|(a*aa))*,(b*(aa?))*
Odd number of b's,(a*ba*b)*a*ba*,(b)((a|b)(a|b))*
even number of 1's,(0*10*10*)*|0*,0*0?|111*
first and third,a(a|b)a(a|b)*,(aaa|aba)*
non isolated 'b',(a|(b*bb))*,a*b*a*b*
contains 'bab',(a|b)*(bab)(a|b)*,(ab)*
non isolated 'b',(a|(b*bb))*,(a+b*bb*)*
Odd number of 1s,0*10*(10*10*)*,(((1+)+)|0)|0*
Every b followed by two or more a's,(a|baa)*,a*b(aa)*
first and third,a(a|b)a(a|b)*,(a(a+b)a)
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)*a*b(bb)*a*
even number of 1's,(0*10*10*)*|0*,0*1(0*|1)1
non isolated 'b',(a|(b*bb))*,(a*b)*
Odd number of 1s,0*10*(10*10*)*,0*1*0*10*1*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*b
Odd number of b's,(a*ba*b)*a*ba*,((b)(a))*
non isolated 'b',(a|(b*bb))*,a*(b+)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(10|01)*(10|01)*
Every b followed by two or more a's,(a|baa)*,"(a|b)*b*a{2,}"
Odd number of b's,(a*ba*b)*a*ba*,((b)(a))+
Odd number of b's,(a*ba*b)*a*ba*,a*|b(bb*|a*)*
non isolated 'b',(a|(b*bb))*,(ab|ba|b)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*(baa+)+a*b*)*b+
Odd number of 1s,0*10*(10*10*)*,(0*1|10*|0*111+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(b*aaaa*)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|b)*b
even prefix,(ab|ba)*,ab*
non isolated 'b',(a|(b*bb))*,a*(b+a)*(bb)*(b+a)*
even number of 1's,0*(10*1)*0*,(0*10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,bb*b+
even number of 1's,(0*10*10*)*|0*,(0*|(01)*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*|a*bbb*a
Odd number of 1s,0*10*(10*10*)*,0*1|1*
Odd number of b's,(a*ba*b)*a*ba*,b*(a*|bb*)
even number of 1's,(0*10*10*)*|0*,(0*10*1)*(01)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab*aaa
Odd number of 1s,0*10*(10*10*)*,(11)*0*(11)*0*1*0*(11)*
even number of 1's,(0*10*10*)*|0*,(1)+(01)+
Odd number of b's,(a*ba*b)*a*ba*,a*b((ba|a)*b)a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaa*
non isolated 'b',(a|(b*bb))*,a*|(a*b*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"a|b{2,}a{3,}"
Three Choices (Regex),001|1010|110,((001)|(10101)|(110))
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*|(0+1*0+)*)*|0|1
Odd number of b's,(a*ba*b)*a*ba*,(a*|b+)bb*|a*
Every b followed by two or more a's,(a|baa)*,(a*b*(aa)a*)*
Every b followed by two or more a's,(a|baa)*,a*(b(aa)*)a*
Odd number of 1s,0*10*(10*10*)*,(0)*(111)*(0)*
Odd number of b's,(a*ba*b)*a*ba*,aa(b*|ba)
non isolated 'b',(a|(b*bb))*,(b?)*b*(b?)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(baaaa*)*
non isolated 'b',(a|(b*bb))*,b*b|bb*
even prefix,(ab|ba)*,(ab+ba?)*
non isolated 'b',(a|(b*bb))*,((a|b)*(ab|b)b)*
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*10*|0*
even number of 1's,(0*10*10*)*|0*,(00*10*1)*(01)*
Every b followed by two or more a's,(a|baa)*,a*|[b]*[a]{2}
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*|(1+(01)*0+1+)*|1*|0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1(0|1)*1|0(0|1)*1
Odd number of 1s,0*10*(10*10*)*,(0*1)*
even prefix,(ab|ba)*,(ab+ba)*(ab+ba)*(aa+bb+ab+ba)*
non isolated 'b',(a|(b*bb))*,((ab)|(ba))*
even prefix,(ab|ba)*,(ab?)*
non isolated 'b',(a|(b*bb))*,(a*(bb*)*a*)
non isolated 'b',(a|(b*bb))*,(a)*b*(bb)*b*(a)*
non isolated 'b',(a|(b*bb))*,(ab+b)*(ba+a)*
Every b followed by two or more a's,(a|baa)*,a*|b*aa+
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)
Every b followed by two or more a's,(a|baa)*,(b|aa)a*
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*|111)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*(0+1*0+)*)*
Every b followed by two or more a's,(a|baa)*,"a*b*aa{2,}"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|a*(baaa)a*
Every b followed by two or more a's,(a|baa)*,(a|b)(a)(a)*
Every b followed by two or more a's,(a|baa)*,"a|b(ba{2,})*"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(aa*|a*b*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*11*00*)*)|((1*00*11*)*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*a
Odd number of b's,(a*ba*b)*a*ba*,a*(b+)(bb)*
contains 'bab',(a|b)*(bab)(a|b)*,(a|bab)*(b|aba)*
Every b followed by two or more a's,(a|baa)*,b*(aa)*
first and third,a(a|b)a(a|b)*,a(a|b)(a|b)a(a|b)*
Odd number of 1s,0*10*(10*10*)*,(1+(11)*)+0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ba*aaa+
Odd number of b's,(a*ba*b)*a*ba*,(b)*a*(b|bb*)a*(b)*
even number of 1's,(0*10*10*)*|0*,0*1+1+
non isolated 'b',(a|(b*bb))*,(a*b+)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),0+1+
even number of 1's,(0*10*10*)*|0*,(10*)*(10*)*
non isolated 'b',(a|(b*bb))*,(a+b)*(b)(a+b)*b
even number of 1's,(0*10*10*)*|0*,(0*1(0*10*110*)+)|0*|(0*1(0*10*110*)+)?
non isolated 'b',(a|(b*bb))*,(a)*(bb)*b*(a)*
Every b followed by two or more a's,(a|baa)*,((b)*(a)+(a)+)*
even number of 1's,(0*10*10*)*|0*,0*1(0|11*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*01+0)|(1*10+1))*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*1+0*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),0|1*
Odd number of 1s,0*10*(10*10*)*,(0)*(1)*(0)*
Every b followed by two or more a's,(a|baa)*,a*ba*
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)((a|b)(a|b))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*0*(0+1+)*
Every b followed by two or more a's,(a|baa)*,(b*(aa+))*
non isolated 'b',(a|(b*bb))*,(a|b)*bba(a|b)*
non isolated 'b',(a|(b*bb))*,a*|(a+b*)*
non isolated 'a',(b|(a*aa))*,(b*|ab+)*aa(a+b)*|b*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+a*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b(a|b)*(aaa)*
Odd number of 1s,0*10*(10*10*)*,0*1*(11)*0*
even number of 1's,(0*10*10*)*|0*,0*0*|10*
non isolated 'a',(b|(a*aa))*,b*aa*b*
even prefix,(ab|ba)*,(ab)*(ba)*(aa+bb+ab+ba)*(ba)*(ab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|ba|baaaa*
non isolated 'b',(a|(b*bb))*,(a|b)*b+(a|b)*
Every b followed by two or more a's,(a|baa)*,"(b|a{2,})*"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*0+|(1*0*)*1+
Odd number of b's,(a*ba*b)*a*ba*,((a*ba*ba*)*ba*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*abb(a|b)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01+0)*(10+1)*(01+0)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))*aaa
Odd number of b's,(a*ba*b)*a*ba*,b*(aa)*bb*
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*0+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*|(10)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*
Three Choices (Regex),001|1010|110,(001|10101)|110
even number of 1's,(0*10*10*)*|0*,(0*1)+(0*1)+
even prefix,(ab|ba)*,(ab+ba)*(a+b)+(a+b?)
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))
even number of 1's,(0*10*10*)*|0*,(0+1)*(1+1)*(0+1)*
Length 1 or More,(0|1)(0|1)*,1*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b(a|ba*b)*
Three Choices (Regex),001|1010|110,001|10101|110
non isolated 'b',(a|(b*bb))*,(a)*(bb+bb)*(a+b)*
even prefix,(ab|ba)*,(aa|bb)*
non isolated 'b',(a|(b*bb))*,((a)*b*b(bb)*b*(a)*)|((a)*b*(bb)*b*(a)*)
even number of 1's,(0*10*10*)*|0*,(0*1(0*10*110*)*)|0*
Odd number of 1s,0*10*(10*10*)*,(0*|(1(11))*)
Length 1 or More,(0|1)(0|1)*,0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*
even number of 1's,(0*10*10*)*|0*,0*1(0*1)*0*
Odd number of b's,(a*ba*b)*a*ba*,(b+(bb*))
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((11*00*11*)|(00*11*00*)|(11*00*11*00*11*)|(00*11*00*11*00*))*
An even number of 1's,(0|10*1)*,0|(0*1)*
non isolated 'a',(b|(a*aa))*,(b*|a*ab*|aa*b*)(b*|aa*b*|a*ab*)(b*|aa*b*|a*ab*)
Every b followed by two or more a's,(a|baa)*,a*|b*(aa)
Odd number of 1s,0*10*(10*10*)*,1(11*)
even number of 1's,(0*10*10*)*|0*,(01)*(01)*
Every b followed by two or more a's,(a|baa)*,a*(b+aa)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb*)*
Every b followed by two or more a's,(a|baa)*,(a*|b*)(aa)+
Odd number of 1s,0*10*(10*10*)*,(0*|1(11)*)(0+|1(11)*)
first and third,a(a|b)a(a|b)*,a(a+b)*a
Every b followed by two or more a's,(a|baa)*,(a*|b*)(aa)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*(ab)*aaa(a)*
Odd number of b's,(a*ba*b)*a*ba*,b+a(a+b)((b+a)(b+a))*
even number of 1's,(0*10*10*)*|0*,(0*(1?)*0(1?))*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*ba*)+|a*ba*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(01)*0*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*|(1+0+1*0+1+)*|1*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|((11*00*11*)|(00*11*00*)|(11*00*11*00*11*)|(00*11*00*11*00*))*
even prefix,(ab|ba)*,(bb|aa||ab|ba)*
non isolated 'b',(a|(b*bb))*,((b*bb*)|a)?
Every b followed by two or more a's,(a|baa)*,[ab]*[b]?([a]{2}[a]*)
non isolated 'a',(b|(a*aa))*,(a+b)*aa(a+b)*
contains 'bab',(a|b)*(bab)(a|b)*,bab*
even prefix,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)
Odd number of 1s,0*10*(10*10*)*,(1)*
even prefix,(ab|ba)*,(ba)*(ab+ba)*(ba)*
even prefix,(ab|ba)*,(ba+ab)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b(a*bb)*a*|a*(a*bb)*a*b|a*b(a*b)*a*b)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)aaaa*
non isolated 'b',(a|(b*bb))*,(a)*(ab+b)*(ba+a)*
Every b followed by two or more a's,(a|baa)*,(b*(aaa*)*)
non isolated 'b',(a|(b*bb))*,(a+b)*bbb(a+b)*
non isolated 'b',(a|(b*bb))*,(a|b)*bba(a|b)*|(a|b)*bbb(a|b)*|(a|b)*abb(a|b)*
even number of 1's,(0*10*10*)*|0*,1+(0*|1)1
even prefix,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb)*
even prefix,(ab|ba)*,(ab+ba)?(ab+ba)*(aa+bb+ab+ba)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(a*b*)
non isolated 'b',(a|(b*bb))*,a*b*(ab+ba+b)*b*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aba|b*aaa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*aaa
even number of 1's,(0*10*10*)*|0*,0*1(0*|1)
Odd number of b's,(a*ba*b)*a*ba*,((a)*(ab(bb)+))+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ab*baa*b)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(bba)(a|b)*b
even prefix,(ab|ba)*,(a*b*)|(b*a*)
non isolated 'b',(a|(b*bb))*,(a)*(bb+bbb)*(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)bb*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*|a*b*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*b|b(a|b)*
non isolated 'b',(a|(b*bb))*,(a|b)*bb*(a|b)*
Length 1 or More,(0|1)(0|1)*,0*|1*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa|ab|ba|bb)(aaa)+)*
Every b followed by two or more a's,(a|baa)*,b+(aa)
Odd number of b's,(a*ba*b)*a*ba*,(b|bbb)*
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)a*
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*
non isolated 'b',(a|(b*bb))*,(a|bb)*|(bbb)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+
Length 1 or More,(0|1)(0|1)*,(0|1)((01)+)
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*ba*)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b{2})*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa+)b+
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*
An even number of 1's,(0|10*1)*,(0*|101)+
even number of 1's,(0*10*10*)*|0*,(0*10*10*)11(0*10*10*)
Every b followed by two or more a's,(a|baa)*,(b?aaa*)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b((a)|(bb))*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)(a|bb)*
first and third,a(a|b)a(a|b)*,a(a|b)a(a*|b*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*)
